trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.002, 'e': 0.7527666447061963}",20,1,-59.80961978819941,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
144,False,"{'a': 0.002, 'e': 0.751262615946886}",20,2,-22.92444615798432,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
145,False,"{'a': 0.002, 'e': 0.7497615922390413}",25,13,-2.5371004881014407,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.002, 'e': 0.7482635675785653}",30,10,-60.911959168431224,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
147,False,"{'a': 0.002, 'e': 0.7467685359733571}",20,0,-106.41836617260661,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
148,False,"{'a': 0.002, 'e': 0.7452764914432887}",20,0,-92.11907261831325,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
149,False,"{'a': 0.002, 'e': 0.7437874280201796}",20,0,-170.96938112603766,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
150,False,"{'a': 0.002, 'e': 0.7423013397477743}",30,0,-104.56976526320956,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
151,False,"{'a': 0.002, 'e': 0.7408182206817179}",20,0,-114.48318292877862,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
152,False,"{'a': 0.002, 'e': 0.7393380648895319}",30,0,-128.8042168934073,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
153,False,"{'a': 0.002, 'e': 0.7378608664505911}",20,0,-85.86100831296667,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
154,False,"{'a': 0.002, 'e': 0.7363866194561001}",20,12,-15.005976870021733,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
155,False,"{'a': 0.002, 'e': 0.7349153180090687}",20,0,-7.858690893797792,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
156,False,"{'a': 0.002, 'e': 0.7334469562242892}",20,0,-23.097493804448305,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
157,False,"{'a': 0.002, 'e': 0.7319815282283126}",25,0,-115.85795547009738,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
158,False,"{'a': 0.002, 'e': 0.7305190281594249}",25,0,-127.90380276695538,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
159,False,"{'a': 0.002, 'e': 0.7290594501676237}",30,3,-48.19834562621987,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 1}",1
160,False,"{'a': 0.002, 'e': 0.7276027884145955}",30,12,26.441377231675087,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.002, 'e': 0.7261490370736909}",20,4,9.184105738381087,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.002, 'e': 0.7246981903299029}",25,0,-32.39761000191146,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
163,False,"{'a': 0.002, 'e': 0.7232502423798424}",25,8,-52.77612616491217,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 0}",1
164,False,"{'a': 0.002, 'e': 0.7218051874317158}",20,10,-40.97811367739131,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
165,False,"{'a': 0.002, 'e': 0.7203630197053014}",20,11,-13.371934907546688,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.002, 'e': 0.7189237334319262}",30,21,4.30014588212549,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.002, 'e': 0.7174873228544433}",20,0,-100.96150854538124,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
168,False,"{'a': 0.002, 'e': 0.7160537822272085}",25,12,-46.03602349966191,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
169,False,"{'a': 0.002, 'e': 0.7146231058160573}",25,1,-56.825297306881694,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 0}",1
170,False,"{'a': 0.002, 'e': 0.7131952878982822}",25,0,-138.85201600161022,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
171,False,"{'a': 0.002, 'e': 0.7117703227626097}",20,0,-115.1150861026941,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
